experiment,variant,instance,seed,value,weight,capacity,time_to_best_s,wall_s,kernel_s,iterations,walkers,budget_s,config_hash
sensitivity,sens_rho025,MF_800_03,3,3672,2400,2400,1.400,60.500,47.735,256000,1024,60,7640605dea
sensitivity,sens_rho025,MF_800_08,1,3612,2396,2400,2.700,60.551,46.964,256000,1024,60,7640605dea
sensitivity,sens_rho025,MF_800_08,2,3612,2397,2400,2.700,60.410,46.802,254000,1024,60,7640605dea
sensitivity,sens_rho025,MF_800_08,3,3612,2396,2400,1.810,60.571,47.084,256000,1024,60,7640605dea
sensitivity,sens_rho025,MF_1000_03,1,4643,2998,3000,4.560,60.366,46.722,232000,1024,60,7640605dea
sensitivity,sens_rho025,MF_1000_03,2,4643,2999,3000,2.960,60.671,47.069,234000,1024,60,7640605dea
sensitivity,sens_rho025,MF_1000_03,3,4643,2999,3000,7.160,60.380,46.651,232000,1024,60,7640605dea
sensitivity,sens_rho025,MF_1000_08,1,4572,2997,3000,2.480,60.390,46.904,234000,1024,60,7640605dea
sensitivity,sens_rho025,MF_1000_08,2,4572,2998,3000,2.130,60.533,46.796,234000,1024,60,7640605dea
sensitivity,sens_rho025,MF_1000_08,3,4572,2998,3000,1.480,60.457,46.844,234000,1024,60,7640605dea
sensitivity,sens_rho075,O_800_03,1,4107,2399,2400,3.450,60.372,44.331,280000,1024,60,e34fc94dd8
sensitivity,sens_rho075,O_800_03,2,4107,2400,2400,2.660,60.376,44.083,278000,1024,60,e34fc94dd8
sensitivity,sens_rho075,O_800_03,3,4107,2399,2400,2.100,60.349,44.428,280000,1024,60,e34fc94dd8
sensitivity,sens_rho075,O_800_08,1,4063,2400,2400,1.280,60.413,44.331,284000,1024,60,e34fc94dd8
sensitivity,sens_rho075,O_800_08,2,4063,2400,2400,1.270,60.515,44.572,284000,1024,60,e34fc94dd8
sensitivity,sens_rho075,O_800_08,3,4063,2400,2400,1.280,60.332,44.395,284000,1024,60,e34fc94dd8
sensitivity,sens_rho075,O_1000_03,1,5178,2999,3000,3.670,60.475,43.158,256000,1024,60,e34fc94dd8
sensitivity,sens_rho075,O_1000_03,2,5178,3000,3000,2.370,60.390,43.243,256000,1024,60,e34fc94dd8
sensitivity,sens_rho075,O_1000_03,3,5178,3000,3000,2.350,60.405,43.227,256000,1024,60,e34fc94dd8
sensitivity,sens_rho075,O_1000_08,1,5191,3000,3000,1.850,60.492,44.015,258000,1024,60,e34fc94dd8
sensitivity,sens_rho075,O_1000_08,2,5191,3000,3000,1.780,60.582,44.032,258000,1024,60,e34fc94dd8
sensitivity,sens_rho075,O_1000_08,3,5191,3000,3000,2.340,60.408,43.916,258000,1024,60,e34fc94dd8
sensitivity,sens_rho075,LK_800_03,1,4257,3052,4000,1.990,60.414,56.465,350000,1024,60,e34fc94dd8
sensitivity,sens_rho075,LK_800_03,2,4257,3070,4000,1.590,60.366,56.470,350000,1024,60,e34fc94dd8
sensitivity,sens_rho075,LK_800_03,3,4257,3093,4000,2.080,60.508,56.480,350000,1024,60,e34fc94dd8
sensitivity,sens_rho075,LK_800_08,1,4158,2943,4000,29.490,60.322,56.520,344000,1024,60,e34fc94dd8
sensitivity,sens_rho075,LK_800_08,2,4156,3053,4000,4.660,60.607,56.830,346000,1024,60,e34fc94dd8
sensitivity,sens_rho075,LK_800_08,3,4158,2960,4000,17.540,60.497,56.543,344000,1024,60,e34fc94dd8
sensitivity,sens_rho075,LK_1000_03,1,5395,3800,5000,2.470,60.490,56.667,332000,1024,60,e34fc94dd8
sensitivity,sens_rho075,LK_1000_03,2,5395,3807,5000,2.570,60.602,56.688,332000,1024,60,e34fc94dd8
sensitivity,sens_rho075,LK_1000_03,3,5395,3835,5000,2.870,60.335,56.487,332000,1024,60,e34fc94dd8
sensitivity,sens_rho075,LK_1000_08,1,5394,3879,5000,3.890,60.638,56.886,330000,1024,60,e34fc94dd8
sensitivity,sens_rho075,LK_1000_08,2,5394,3879,5000,3.180,60.614,56.833,330000,1024,60,e34fc94dd8
sensitivity,sens_rho075,LK_1000_08,3,5394,3879,5000,2.830,60.463,56.693,328000,1024,60,e34fc94dd8
sensitivity,sens_rho075,MF_800_03,1,3672,2398,2400,1.370,60.621,47.466,254000,1024,60,e34fc94dd8
sensitivity,sens_rho075,MF_800_03,2,3672,2400,2400,1.440,60.679,47.708,252000,1024,60,e34fc94dd8
sensitivity,sens_rho075,MF_800_03,3,3672,2400,2400,1.410,60.634,47.575,252000,1024,60,e34fc94dd8
