experiment,variant,instance,seed,value,weight,capacity,time_to_best_s,wall_s,kernel_s,iterations,walkers,budget_s,config_hash
ablation,abl_oneregime,MF_1000_03,1,4643,2999,3000,5.550,120.420,93.239,464000,1024,120,0e85ef585a
ablation,abl_oneregime,MF_1000_03,2,4643,2998,3000,2.430,120.654,93.648,466000,1024,120,0e85ef585a
ablation,abl_oneregime,MF_1000_03,3,4643,2998,3000,2.650,120.722,93.285,464000,1024,120,0e85ef585a
ablation,abl_oneregime,MF_1000_08,1,4572,2997,3000,1.910,120.575,93.409,466000,1024,120,0e85ef585a
ablation,abl_oneregime,MF_1000_08,2,4572,2997,3000,1.920,120.603,93.268,466000,1024,120,0e85ef585a
ablation,abl_oneregime,MF_1000_08,3,4572,2998,3000,2.000,120.334,93.326,466000,1024,120,0e85ef585a
ablation,abl_noarchive,O_800_03,1,4107,2400,2400,2.060,120.530,94.329,592000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,O_800_03,2,4107,2400,2400,2.070,120.492,94.355,592000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,O_800_03,3,4107,2399,2400,2.100,120.605,94.683,594000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,O_800_08,1,4063,2400,2400,1.630,120.512,92.687,594000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,O_800_08,2,4063,2399,2400,1.240,120.380,92.677,594000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,O_800_08,3,4063,2400,2400,1.630,120.327,92.345,592000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,O_1000_03,1,5178,3000,3000,4.570,120.532,91.789,540000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,O_1000_03,2,5178,3000,3000,3.170,120.474,91.799,540000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,O_1000_03,3,5178,3000,3000,3.160,120.589,91.868,540000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,O_1000_08,1,5191,3000,3000,2.260,120.652,92.764,540000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,O_1000_08,2,5191,3000,3000,1.800,120.591,92.831,540000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,O_1000_08,3,5191,3000,3000,2.370,120.374,92.864,540000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,LK_800_03,1,4257,3063,4000,1.950,120.344,116.044,716000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,LK_800_03,2,4257,3063,4000,1.930,120.362,116.063,716000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,LK_800_03,3,4257,3048,4000,2.210,120.357,116.107,716000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,LK_800_08,1,4158,2948,4000,4.900,120.473,116.352,688000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,LK_800_08,2,4158,2955,4000,2.220,120.332,116.183,686000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,LK_800_08,3,4158,2992,4000,4.620,120.323,116.154,686000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,LK_1000_03,1,5395,3831,5000,2.740,120.340,116.166,682000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,LK_1000_03,2,5395,3842,5000,1.730,120.350,116.163,682000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,LK_1000_03,3,5395,3860,5000,3.080,120.616,116.404,684000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,LK_1000_08,1,5394,3879,5000,3.820,120.439,116.293,676000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,LK_1000_08,2,5394,3872,5000,3.110,120.434,116.268,676000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,LK_1000_08,3,5394,3872,5000,4.250,120.455,116.205,676000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,MF_800_03,1,3672,2400,2400,1.500,120.678,98.441,528000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,MF_800_03,2,3672,2400,2400,1.370,120.367,98.088,526000,1024,120,0d7ebcbbf2
ablation,abl_noarchive,MF_800_03,3,3672,2400,2400,1.410,120.454,98.454,528000,1024,120,0d7ebcbbf2
